Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Study Design,"Reasoning for ""Study Design""",Data Reporting,"Reasoning for ""Data Reporting""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Setting,"Reasoning for ""Study Setting""",Test Methodology,"Reasoning for ""Test Methodology""",Test Type and Reference Standard,"Reasoning for ""Test Type and Reference Standard""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Real-world assessment of the clinical performance of COVID-VIRO ALL IN rapid SARS-CoV-2 antigen test,"L. Pighi, B. Henry, Simone De Nitto, Gianluca Gianfilippi, G. Salvagno, G. Lippi",10.1515/dx-2022-0138,https://doi.org/10.1515/dx-2022-0138,Diagnosis,0,2023,maybe,"The study includes participants aged 14-68 years (median 43). While most participants are adults, some are under 18. The abstract doesn't indicate if data for adults is reported separately.",yes,This is a primary diagnostic accuracy study comparing a rapid antigen test against RT-PCR in a clinical setting.,yes,The study clearly reports rapid antigen test results (COVID-VIRO ALL IN) separately from RT-PCR results.,yes,"The study reports detailed diagnostic accuracy measures including sensitivity, specificity, PPV, NPV, and agreement rates.",yes,The study is conducted in a clinical setting with outpatients.,yes,The study specifically evaluates a rapid antigen test (COVID-VIRO ALL IN SARS-CoV-2 RDT-Ag).,yes,The study evaluates a point-of-care rapid antigen test and uses RT-PCR (Cepheid Xpert Xpress) as the reference standard.,Include,"A diagnostic accuracy study of a SARS-CoV-2 rapid antigen test using RT-PCR as a reference standard, conducted in an outpatient clinical setting with participants aged 14-68 years. The study comprehensively reports diagnostic performance metrics including sensitivity, specificity, and predictive values, with detailed analysis of test performance across different viral load levels. While most criteria are strongly met, there is slight uncertainty regarding the separate reporting of adult participant data.",4.6
Comparison of two nucleic acid amplification tests (NAATs) and two antigen tests for detection of SARS-CoV-2 from upper respiratory specimens,"Peiting Kuo, Susan Realegeno, D. Pride",10.1016/j.jcvp.2021.100011,https://doi.org/10.1016/j.jcvp.2021.100011,Journal of Clinical Virology Plus,11,2021,maybe,"The abstract doesn't specify the age range of participants. It only mentions ""patients suspected of SARS-CoV-2 infections"" without age details.",yes,This is a primary diagnostic accuracy study comparing different testing methods with clear methodology and original data collection.,yes,"The study clearly reports rapid antigen test results separately, comparing two specific antigen tests (BD Veritor and Abbott BinaxNOW) against NAATs.",yes,"The study reports quantifiable diagnostic accuracy data, including positive percent agreement (PPA) and negative percent agreement (NPA).",maybe,"While the study uses clinical specimens, the abstract doesn't explicitly state whether the testing was conducted in a clinical or community setting.",yes,The study specifically evaluates rapid antigen tests (BD Veritor System and Abbott BinaxNOW COVID-19 Ag Card).,maybe,"While the study evaluates point-of-care rapid antigen tests, it uses multiple reference standards (Roche cobas SARS-CoV-2 assay and Hologic Aptima SARS-CoV-2 Assay), not just RT-PCR. However, these are both NAATs which are equivalent to RT-PCR.",Include,"A diagnostic accuracy study comparing rapid antigen tests with nucleic acid amplification tests, demonstrating clear methodology and quantifiable performance metrics across different testing platforms. The research provides detailed insights into SARS-CoV-2 diagnostic test performance, with some uncertainties regarding participant age range and specific testing environment. Multiple test types were evaluated, offering comprehensive comparative analysis of diagnostic approaches.",4.3
Clinical Evaluation and Comparison of Two Microfluidic Antigenic Assays for Detection of SARS-CoV-2 Virus,"Paolo Bottino, Valentina Pizzo, Salvatore Castaldo, E. Scomparin, Cristina Bara, Marcella Cerrato, Sabrina Sisinni, S. Penpa, A. Roveta, M. Gerbino, A. Maconi, Andrea Rocchetti",10.3390/microorganisms11112709,https://doi.org/10.3390/microorganisms11112709,Microorganisms,2,2023,maybe,The abstract does not specify participant age ranges or whether data is separated by age groups. This is a significant uncertainty.,yes,This is a primary diagnostic accuracy study comparing rapid antigen tests against a reference standard.,yes,"The study clearly reports rapid antigen test results separately, comparing two microfluidic rapid antigen tests against RT-qPCR.",yes,"The study reports quantifiable diagnostic accuracy data, including agreement rates (100% for negatives, 45.10-54.90% for positives) and correlation rates (94.74% for high viral load samples).",yes,The study was conducted in a clinical setting (Microbiology and Virology Laboratory).,yes,The study specifically evaluates rapid antigen tests (microfluidic rapid antigen tests).,yes,The study uses RT-qPCR as the reference standard and evaluates point-of-care rapid antigen tests for SARS-CoV-2.,Include,"A diagnostic accuracy study comparing microfluidic rapid antigen tests against RT-qPCR demonstrates clear reporting of test performance across different viral load subsets. The research provides quantifiable diagnostic accuracy data in a clinical laboratory setting, with strong methodological alignment to most screening criteria. The primary uncertainty lies in the lack of explicit information about participant age ranges.",4.3
"Clinical performance of two commercially available rapid antigen tests for influenza, RSV, and SARS-CoV-2 diagnostics","Laura E Savolainen, Joanna Peltola, Risto Hilla, Tapio Åman, Markku Broas, I. S. Junttila",10.1128/spectrum.01630-24,https://doi.org/10.1128/spectrum.01630-24,Microbiology spectrum,1,2024,maybe,"The abstract doesn't specify the age range of participants. They are described as ""patients admitted to the emergency department,"" but no age restrictions are mentioned.",yes,This is a primary diagnostic accuracy study comparing RATs against RT-PCR in 620 patients.,yes,"The study clearly reports rapid antigen test results separately for SARS-CoV-2, with specific sensitivity values reported (98.68% and 44.44% for different conditions).",yes,"The study reports clear diagnostic accuracy data, including sensitivity (98.68% for SARS-CoV-2) and specificity (99.48-100%).",yes,"The study was conducted in an emergency department setting, which qualifies as a clinical setting.",yes,The study specifically evaluates rapid antigen tests (RATs) for SARS-CoV-2.,yes,The study uses point-of-care rapid antigen tests and RT-PCR as the reference standard.,Include,"A comprehensive diagnostic accuracy study of rapid antigen tests for respiratory viruses, conducted in an emergency department setting, provides detailed sensitivity and specificity data using RT-PCR as a reference standard. The research meets most screening criteria, with robust methodology and clear reporting of diagnostic performance across multiple viral pathogens. The only notable uncertainty relates to participant age range, which may require further clarification in the full manuscript.",4.3
A-372 Increased Sensitivity in Detection of SARS-CoV-2 Antigen Using RADI COVID-19 Ag Rapid Test,"S. Kee, J. Choi, J. Jeon, M. Heo, J. Park, H. Choi",10.1093/clinchem/hvad097.328,https://doi.org/10.1093/clinchem/hvad097.328,Clinical Chemistry,0,2023,maybe,"The abstract does not explicitly state the age range of participants, so there is uncertainty about whether the study only includes non-pregnant adult participants or if the data of adult participants are reported separately.",yes,"This is a primary diagnostic accuracy study evaluating two rapid antigen tests against RT-PCR, with clear reporting of original data from 1054 samples.",yes,"The study clearly reports rapid antigen test results separately, comparing two different rapid antigen tests (RADI COVID-19 Ag Rapid Test and STANDARD Q COVID-19 Ag Test) with RT-PCR as the reference standard.",yes,"The study reports detailed quantifiable diagnostic accuracy data including sensitivity (82.2%), specificity (99.1%), PPV, NPV, and accuracy (95.0%).",maybe,"While the study uses clinical samples (nasopharyngeal swabs), it's not entirely clear if this was conducted in a clinical or community setting. However, the use of clinical samples suggests a clinical setting.",yes,"The study specifically evaluates rapid antigen tests, not antibody tests or other diagnostics.",yes,The study evaluates point-of-care rapid antigen tests and uses RT-PCR (PowerChek 2019-nCoV Real-time PCR) as the reference standard.,Include,"A comprehensive diagnostic accuracy study comparing two rapid antigen tests for SARS-CoV-2 using RT-PCR as the reference standard, with detailed reporting of sensitivity, specificity, and other performance metrics. The research provides robust data on point-of-care testing methodology, though uncertainty remains regarding participant age range. Multiple diagnostic performance indicators were quantitatively assessed across a substantial sample of 1054 nasopharyngeal swab samples.",4.3
Performance differences among commercially available antigen rapid tests for COVID-19 in Brazil,"M. Freire, Líndicy Leidicy Alves, C. S. D. de Souza, J. W. Saliba, Verônica Faria, M. Pedras, N. O. Carvalho, G. Q. Andrade, A. Rabello, D. Avelar, G. Cota",10.1371/journal.pone.0269997,https://doi.org/10.1371/journal.pone.0269997,PLoS ONE,7,2022,maybe,"The abstract mentions ""patients admitted to tertiary hospitals"" but doesn't specify age restrictions, creating some uncertainty about whether the study includes only adults or includes children.",yes,This is a primary diagnostic accuracy study comparing Ag-RDTs against RT-PCR as the reference standard.,yes,"The study clearly reports rapid antigen test results separately, evaluating eight different Ag-RDTs with specific performance metrics.",yes,"The study reports quantifiable diagnostic accuracy data, including sensitivity (9.8-81.1%) and specificity (>83%) for all tests.",yes,The study was conducted in a clinical setting (tertiary hospitals).,yes,The study specifically evaluates rapid antigen tests (Ag-RDTs) and compares them with RT-PCR.,yes,The study evaluates point-of-care rapid antigen tests and uses RT-PCR as the reference standard.,Include,"A comprehensive diagnostic accuracy study evaluating eight rapid antigen tests for COVID-19, comparing them against RT-PCR in a hospital setting with quantifiable sensitivity and specificity metrics. The research meets most screening criteria, with robust methodology and clear reporting of diagnostic performance, though some uncertainty exists regarding participant age demographics. The study provides valuable insights into rapid antigen test performance for COVID-19 diagnosis.",4.6
Diagnostic Accuracy of Rapid Antigen Test for COVID-19 Infection: A Retrospective Analysis,"Dhwani N Chauhan, Shambhavi Verma, Kishor V Jadhav, M. Kumar, Naresh T. Chauhan, A. Kavishvar, J. Kosambiya",10.7860/jcdr/2022/52529.16321,https://doi.org/10.7860/jcdr/2022/52529.16321,Journal of Clinical and Diagnostic Research,0,2022,maybe,"While not explicitly stated that all participants are adults, the mean ages reported (41.6 years for males, 36.8 years for females) strongly suggest an adult population. No mention of pediatric or pregnant participants.",yes,"This is a primary diagnostic accuracy study comparing RAT against RT-PCR, with original data collection and analysis.",yes,"The study clearly reports rapid antigen test results separately from RT-PCR results, with distinct sensitivity and specificity calculations for RAT.",yes,"The study reports clear diagnostic accuracy measures including sensitivity (52.47%), specificity (87.11%), PPV (71.62%), and NPV (74.73%).",yes,"The study was conducted in a clinical setting (Government Medical College, tertiary care centre) and includes community testing.",yes,The study specifically evaluates rapid antigen tests (RAT) for SARS-CoV-2 detection.,yes,The study explicitly uses RT-PCR as the reference standard and evaluates point-of-care rapid antigen tests.,Include,"A comprehensive diagnostic accuracy study comparing rapid antigen tests to RT-PCR in a clinical setting, reporting detailed performance metrics across a predominantly adult population. The research systematically evaluated point-of-care testing methodology, providing quantifiable sensitivity, specificity, and predictive values for SARS-CoV-2 detection. Methodologically robust, the study offers insights into rapid antigen test performance in both symptomatic and general patient populations.",4.9
Development and Evaluation of a new Swiss 1 Made SARS-CoV-2 antigen-detecting rapid test 2,J. DucrestP.,-,-,-,0,2021,maybe,"The abstract does not explicitly state the age range of participants. This creates some uncertainty, though the study appears to be conducted on general clinical samples without specific mention of pediatric or pregnant populations.",yes,"This is a primary diagnostic accuracy study evaluating a new rapid diagnostic test, with original data collection and analysis.",yes,"The study clearly reports rapid antigen test results separately, focusing specifically on a lateral flow immunoassay (LFIA) for SARS-CoV-2 antigen detection.",yes,"The study reports clear diagnostic accuracy data, including sensitivity (90% and 100% for different conditions) and specificity (98%) with confidence intervals.",yes,"While not explicitly stated, the use of nasopharyngeal swab samples and RT-PCR suggests a clinical setting.",yes,The study clearly evaluates a rapid antigen test (LFIA) for detecting nucleocapsid antigen of SARS-CoV-2.,yes,"The study uses RT-PCR as the reference standard, comparing RDT results against RT-PCR positive samples.",Include,"A rapid diagnostic test for SARS-CoV-2 antigen detection was evaluated using RT-PCR as a reference standard, demonstrating high diagnostic accuracy with 90% sensitivity and 98% specificity. The study focused on a point-of-care lateral flow immunoassay, reporting quantifiable diagnostic performance metrics in a clinical setting, though the specific age range of participants was not explicitly defined.",4.6
Clinical Performance of Three Commercial SARS‐CoV‐2 Rapid Antigen Tests for Community-Dwelling Individuals in a Tropical Setting,"Diana Morales-Jadán, Carolina Viteri-Dávila, Bernardo Castro-Rodríguez, Alexander Paolo Vallejo-Janeta, I. Rivera-Olivero, Franklin Perez, M. Garcia-Bereguiain",10.3389/fcimb.2022.832235,https://doi.org/10.3389/fcimb.2022.832235,Frontiers in Cellular and Infection Microbiology,4,2022,maybe,"The abstract mentions ""community-dwelling individuals"" but doesn't specify age restrictions, creating some uncertainty about whether the study included participants under 18.",yes,This is a primary diagnostic accuracy study evaluating three different RDAgT brands against RT-qPCR as the reference standard.,yes,"The study clearly reports rapid antigen test results separately for each brand (SD-Biosensor, Certest, and Rapigen) with specific sensitivity and specificity values.",yes,"The study reports clear quantifiable diagnostic accuracy data, including sensitivity (79%, 64.2%, and 45.8% for different brands) and specificity (100%, 97.7%, and 100%) with confidence intervals.",yes,"The study was conducted in a clinical/community setting, specifically mentioned as ""community-dwelling individuals"" in a multicenter evaluation.",yes,The study specifically evaluates rapid antigen tests (RDAgTs) for SARS-CoV-2 detection.,yes,"The study evaluates point-of-care rapid antigen tests and explicitly uses RT-qPCR as the reference standard (""gold standard RT-qPCR"").",Include,"A comprehensive diagnostic accuracy study evaluating three rapid antigen tests for SARS-CoV-2 using RT-qPCR as the reference standard, with detailed reporting of sensitivity and specificity across multiple brands. The research provides robust data on point-of-care testing performance in a community setting, though some uncertainty exists regarding participant age demographics. Multiple methodological strengths are evident, including multicenter design and quantifiable diagnostic accuracy measures.",4.6
Diagnostic Accuracy of SARS-CoV-2 Rapid Antigen Testing in a Pediatric Population: Children are Not Little Adults.,"Eda Karadag-Oncel, Selin Taşar, A. Şahin, Alper Togay, Aysegul Elvan-Tuz, Hursel Cay, Sabahat Sen-Tas, Nisel Yılmaz, Ahu Kara-Aksay, Dilek Yılmaz",10.7754/Clin.Lab.2023.230318,https://doi.org/10.7754/Clin.Lab.2023.230318,Clinical Laboratory,0,2023,no,"The study exclusively focuses on pediatric patients (aged 1 month - 18 years), which explicitly fails this criterion requiring adult participants (≥18 years).",yes,This is a primary diagnostic accuracy study with original data collection and analysis.,yes,"The study clearly reports rapid antigen test results separately, with detailed accuracy metrics provided.",yes,"The study reports clear diagnostic accuracy data including sensitivity (62.1%), specificity (98%), PPV, and NPV with confidence intervals.",yes,The study was conducted in a clinical setting (pediatric COVID-19 outpatient clinic).,yes,The study specifically evaluates rapid antigen tests (RATs) for SARS-CoV-2.,yes,The study uses RT-PCR as the reference standard and evaluates point-of-care rapid antigen tests.,Exclude,"The study comprehensively evaluates rapid antigen tests for SARS-CoV-2 in a pediatric population, reporting detailed diagnostic accuracy metrics with RT-PCR as the reference standard. However, the exclusive focus on patients aged 1 month to 18 years disqualifies the study from meeting the systematic review's requirement for adult participants. Despite meeting most other screening criteria with high methodological rigor, the population age restriction represents a critical exclusion factor.",0.1
"Comparison between nucleic acid amplification tests, antigen immunofluorescence assay, and in vitro infectivity in SARS-CoV-2 diagnosis","Luisa Zupin, F. Fontana, L. Clemente, M. Ruscio, S. Crovella",10.1007/s42770-022-00758-6,https://doi.org/10.1007/s42770-022-00758-6,Brazilian Journal of Microbiology,1,2022,maybe,"The abstract does not specify the age range of participants or whether they are pregnant/non-pregnant adults, so the population age criteria is unclear.",yes,"The study appears to be a primary diagnostic accuracy study comparing two testing methods with original data collection and analysis, meeting the criteria for study design.",yes,"The study clearly separates rapid antigen test results from other test types (POCT-NAAT) and reports their concordance, indicating that the data reporting meets the criteria.",maybe,"The study reports concordance rates between tests and correlation with infectivity, but doesn't explicitly report standard diagnostic accuracy measures (sensitivity/specificity). However, the concordance data could potentially be used to calculate these, so the criteria is partially met.",maybe,"The abstract mentions laboratory testing but doesn't clearly specify whether this was conducted in a clinical or community setting, so the study setting is unclear.",yes,"The study explicitly evaluates rapid antigen tests, comparing them with POCT-NAAT, meeting the criteria for test methodology.",no,"While the study evaluates rapid antigen tests, it uses POCT-NAAT as the comparison method rather than RT-PCR specifically, which is a significant deviation from the criteria.",Include,"The study partially meets screening criteria by evaluating rapid antigen tests and reporting comparative data, but fails to use RT-PCR as the reference standard and lacks clarity on participant demographics. Significant methodological uncertainties exist regarding population age, study setting, and comprehensive diagnostic accuracy reporting, which prevent full alignment with the specified screening requirements.",2.9
Evaluating the sensitivity and specificity of a rapid antigen screening test against real-time polymerase chain reaction for COVID-19 detection in northern Ethiopia,"Betelehem Abebe, Nega Birhane, Getu Girmay, Debaka Belete",10.54203/jlsb.2024.12,https://doi.org/10.54203/jlsb.2024.12,Journal of Life Science and Biomedicine,0,2024,maybe,"The abstract doesn't explicitly state the age range of participants. While it's likely these are adults given the hospital setting, we cannot be certain without explicit confirmation.",yes,"This is a primary diagnostic accuracy study comparing RAT results against RT-PCR, with original data collection and analysis.",yes,"The study clearly reports rapid antigen test results separately, with specific performance metrics for the PanbioTM COVID-19 rapid antigen test.",yes,"The study reports clear diagnostic accuracy data including sensitivity (98.36%), specificity (100%), and other measures like predictive values and Kappa statistic.",yes,The study was conducted in a clinical setting (University of Gondar Comprehensive Specialized Hospital).,yes,The study specifically evaluates rapid antigen tests (PanbioTM COVID-19 rapid antigen test) and not antibody or other non-antigen diagnostics.,yes,The study uses RT-PCR (BIO-RAD CFX connectTM) as the reference standard and evaluates point-of-care rapid antigen tests for SARS-CoV-2.,Include,"A comprehensive diagnostic accuracy study of rapid antigen tests for SARS-CoV-2 was conducted in a hospital setting, utilizing RT-PCR as the reference standard and reporting detailed performance metrics. The research systematically evaluated test sensitivity, specificity, and predictive values, meeting most screening criteria with high methodological rigor. The only minor uncertainty relates to explicit confirmation of participant age range, though the clinical context strongly suggests an adult population.",4.6
"Evaluating diagnostic accuracies of Panbioâ¢ COVID-19 rapid antigen test and RT-PCR for the detection of SARS-CoV-2 in Addis Ababa, Ethiopia using Bayesian Latent-Class Models (BLCM)","A. Sisay, S. Hartnack, A. Tiruneh, Y. Desalegn, A. Tesfaye, A. Desta",10.1101/2022.04.25.22274285,https://doi.org/10.1101/2022.04.25.22274285,medRxiv,0,2022,maybe,"The abstract doesn't explicitly state the age range of participants. While it mentions ""COVID-19 presumptive clients,"" there's no specific mention of age restrictions or separate reporting for adults.",yes,"This is a primary diagnostic accuracy study, specifically described as a ""prospective cross-sectional study"" evaluating diagnostic performance.",yes,"The study clearly reports rapid antigen test results separately, with specific numbers for Ag-RDT positive cases (158) and RT-PCR positive cases (196).",yes,"The study reports clear diagnostic accuracy data, including sensitivity (99.6%) and specificity (93.4%) for the Ag-RDT.",yes,The study was conducted in clinical settings (two health centers and two hospitals).,yes,The study specifically evaluates a rapid antigen test (Panbio COVID-19 rapid antigen test) and not antibody tests or other diagnostics.,yes,"The study evaluates a point-of-care rapid antigen test and uses RT-PCR as a reference standard, though it also uses Bayesian Latent-Class Models to account for RT-PCR limitations.",Include,"A comprehensive diagnostic accuracy study of a rapid antigen test for SARS-CoV-2 was conducted in clinical settings, reporting detailed sensitivity and specificity metrics using RT-PCR as a reference standard. The research evaluated point-of-care testing across multiple healthcare facilities, providing quantifiable diagnostic performance data with robust methodology. While most screening criteria were definitively met, the participant age range remained slightly ambiguous.",4.6
Longitudinal assessment of diagnostic test performance over the course of acute SARS- 1 CoV-2 infection 2,"Rebecca L. Smith, L. Gibson, P. Martinez, Ruian Ke, Agha Mirza, M. Conte, N. Gallagher, Abigail R. Conte, Leyi Wang, R. Fredrickson, Darci C. Edmonson, M. Baughman, Karen K. Chiu, Hannah Choi, K. Scardina, Shannon Bradley, S. Gloss, Crystal Reinhart, J. Yedetore, Alyssa N. Owens, J. Broach, Bruce Barton, Peter, Lazar, Darcy Henness, Todd Young, Alastair Dunnett, M. Robinson, H. Mostafa, A. Pekosz, Y. Manabe, W. Heetderks, D. David, McManus, C. Brooke",-,-,-,1,2021,no,The abstract provides no information about the study population or age groups included.,maybe,"The abstract suggests this is a primary diagnostic accuracy study comparing RTqPCR and rapid antigen tests, but the study design is not explicitly stated.",maybe,"The abstract mentions both RTqPCR and rapid antigen test results, and appears to report them separately. However, the abstract is incomplete and poorly formatted, making it difficult to be certain.",maybe,"The abstract mentions sensitivity as an outcome measure, though the reporting appears incomplete.",no,The abstract does not specify whether the study was conducted in a clinical or community setting.,yes,The study clearly evaluates rapid antigen tests (specifically mentioning Quidel Sofia FIA rapid antigen tests).,yes,The study uses RTqPCR as a reference standard and evaluates point-of-care rapid antigen tests.,Include,"The abstract partially meets screening criteria by evaluating rapid antigen tests with RT-PCR as a reference standard and reporting sensitivity, but lacks critical details about study population, setting, and complete methodology. Significant information gaps and poor formatting create substantial uncertainty about the study's alignment with comprehensive screening requirements.",3.1
Comparison of seven commercial SARS-CoV-2 rapid Point-of-Care Antigen 1 tests 2,"V. Corman, Verena Haage, T. Bleicker, Marie L Schmidt, Barbara Mühlemann, M. Zuchowski, Wendy Karen, Jó Lei, Patricia Tscheak, E. Möncke-Buchner, M. Müller, A. Krumbholz, J. Drexler, C. Drosten",-,-,-,4,2020,no,"Without the actual abstract content, Elicit is unable to assess whether the study only includes non-pregnant adult participants (aged 18 years or older), or if the data of adult participants are reported separately.",no,"Without the actual abstract content, Elicit is unable to determine if the study is a primary diagnostic accuracy study or meta-analysis reporting original data.",no,"Without the actual abstract content, Elicit is unable to evaluate whether the study reports rapid antigen test results separately from other test types.",no,"Without the actual abstract content, Elicit is unable to assess whether the study reports quantifiable diagnostic accuracy data (sensitivity, specificity, or other accuracy measures).",no,"Without the actual abstract content, Elicit is unable to evaluate whether the study is conducted in a clinical or community setting.",no,"Without the actual abstract content, Elicit is unable to evaluate whether the study evaluates rapid antigen tests (rather than only antibody tests, laboratory-based tests, or other non-antigen diagnostics).",no,"Without the actual abstract content, Elicit is unable to determine if the study evaluates point-of-care rapid antigen tests for SARS-CoV-2 using RT-PCR as the reference standard.",Exclude,"No abstract content was provided, rendering it impossible to assess the screening criteria for diagnostic accuracy, test methodology, population characteristics, or study design. Without the actual text, a comprehensive evaluation against the specified requirements cannot be conducted.",0.1
A Reagent and Virus Benchmarking Panel for a Uniform Analytical Performance Assessment of N Antigen-Based Diagnostic Tests for COVID-19,"A. Golden, J. Cantera, L. Lillis, T. T. Phan, Hannah C. Slater, E. J. Webb, R. Peck, D. Boyle, G. Domingo",10.1128/spectrum.03731-22,https://doi.org/10.1128/spectrum.03731-22,medRxiv,5,2022,maybe,The abstract does not explicitly state the age range of participants or whether data is reported separately for adults.,yes,This appears to be a primary diagnostic accuracy study evaluating multiple rapid antigen tests against RT-PCR. The study includes both laboratory evaluation and clinical specimen analysis.,yes,"The study clearly reports rapid antigen test results separately, evaluating four specific rapid antigen tests (SD Biosensor, Abbott Panbio, Abbott BinaxNOW, and LumiraDx) against RT-PCR.",maybe,"While the study reports some quantifiable measures (limits of detection, 90% probability of detection), it doesn't explicitly report sensitivity and specificity values in the abstract. However, the full paper likely contains these metrics given the nature of the study.",yes,"The study appears to be conducted in both laboratory and clinical settings, using both clinical specimens and laboratory-based evaluations.",yes,"The study clearly evaluates rapid antigen tests, specifically focusing on nucleocapsid (N) and spike (S) antigen detection.",yes,The study uses RT-PCR as a reference standard and evaluates point-of-care rapid antigen tests.,Include,"A comprehensive diagnostic accuracy study evaluating multiple rapid antigen tests for SARS-CoV-2 using RT-PCR as a reference standard, with clear methodology and quantifiable performance metrics. The research demonstrates rigorous laboratory and clinical assessment of point-of-care diagnostic tests, though uncertainty remains regarding participant age demographics. Multiple rapid antigen tests were systematically compared across different antigen sources, providing valuable insights into diagnostic performance.",4.3
The Role of Antigen Rapid Diagnostic Test in COVID-19 Diagnosis,"R. M. Joji, M. Shahid",10.2174/2666958702101010108,https://doi.org/10.2174/2666958702101010108,The Open COVID Journal,0,2021,maybe,The abstract does not specify any age groups or population characteristics.,no,"This appears to be a review or perspective piece rather than a primary diagnostic accuracy study or meta-analysis, as the abstract discusses the general role of Ag-RDTs but does not present original diagnostic accuracy data.",no,"The abstract does not present any specific test results, and is instead a general discussion of antigen rapid diagnostic tests (Ag-RDTs) rather than a report of specific test data.",no,"The abstract does not report any quantifiable diagnostic accuracy data, and only makes general statements about test performance.",maybe,"The abstract mentions ""point of care"" and ""field of public health"" settings, but does not present data from a specific clinical or community setting study.",yes,The abstract does discuss rapid antigen tests (Ag-RDTs) specifically.,no,"While the abstract mentions RT-qPCR as the gold standard and discusses Ag-RDTs, it does not present a specific evaluation comparing these tests.",Exclude,"The abstract discusses rapid antigen diagnostic tests for COVID-19 but lacks specific diagnostic accuracy data, failing key screening criteria related to data reporting, study design, and outcome measures. While it provides a general overview of antigen testing methodology, it does not meet the requirements for a primary diagnostic accuracy study or provide quantifiable performance metrics.",1.4
The Value of Rapid Antigen Tests for Identifying Carriers of Viable SARS-CoV-2,"E. Shidlovskaya, N. Kuznetsova, E. Divisenko, M. Nikiforova, A. Siniavin, D. Ogarkova, A. V. Shagaev, M. Semashko, A. Tkachuk, O. Burgasova, V. Gushchin",10.3390/v13102012,https://doi.org/10.3390/v13102012,Viruses,8,2021,maybe,"The abstract doesn't specify the age range of the 106 patients, creating some uncertainty in meeting this criterion.",yes,This is a primary diagnostic accuracy study comparing rapid antigen tests against RT-PCR and cell culture.,yes,The study clearly reports rapid antigen test results separately for two different tests (BIOCREDIT and SGTI-flex).,yes,"The study reports quantifiable diagnostic accuracy data, including sensitivity and specificity with confidence intervals.",yes,The study was conducted in a hospital setting with newly admitted patients.,yes,The study specifically evaluates rapid antigen tests (BIOCREDIT COVID-19 Ag and SGTI-flex COVID-19 Ag).,maybe,"While the study uses RT-PCR as a reference, it also uses cell culture for viability assessment. The abstract suggests RT-PCR is used as a reference standard, but it's not entirely clear if this was the primary reference standard for all comparisons.",Include,"A diagnostic accuracy study comparing two rapid antigen tests for SARS-CoV-2 detection, with clear reporting of sensitivity and specificity across 106 hospital patients. The research meets most screening criteria, though uncertainty exists regarding participant age range and precise reference standard methodology. Quantifiable diagnostic performance data and a clinical setting provide strong methodological foundations.",4.3
An Agreement of Antigen Tests on Oral Pharyngeal Swabs or Less Invasive Testing With Reverse Transcription Polymerase Chain Reaction for Detecting SARS-CoV-2 in Adults: Protocol for a Prospective Nationwide Observational Study,"U. Schneider, Jenny Dahl Knudsen, Anders Koch, Nikolai Søren, Kirkby, J. Lisby",-,-,-,0,2022,maybe,"The abstract does not specify the age range of participants, which is a major uncertainty that could affect inclusion.",maybe,"This appears to be a primary diagnostic accuracy study comparing multiple RATs against RT-PCR. However, this is a protocol/study design paper rather than a completed study reporting results, which is a significant issue.",yes,"The study reports rapid antigen test results separately from other test types, as indicated by the abstract comparing RAT results to RT-PCR results.",maybe,"The study aims to report sensitivity and specificity, meeting this criterion in principle. However, as this is a protocol, no actual results are presented.",maybe,"The abstract mentions clinical samples from various anatomical locations, suggesting a clinical setting, though this isn't explicitly stated.",yes,"The study clearly focuses on rapid antigen tests (both lateral flow and laboratory-based), meeting this criterion.",yes,"The study explicitly uses RT-PCR as the reference standard and evaluates point-of-care rapid antigen tests, meeting this criterion.",Include,"A comprehensive protocol for comparing rapid antigen tests against RT-PCR across multiple manufacturers and sample collection methods shows strong methodological alignment with screening criteria. However, significant limitations exist, including the absence of actual diagnostic accuracy data and unspecified participant age range, which prevent definitive assessment of the study's compliance with all screening requirements.",2.7
