"Title","Authors","DOI","DOI.link","Venue","Citation.count","Year","Study.Design","Reasoning.for..Study.Design.","Animal.Population.and.Model.Induction","Reasoning.for..Animal.Population.and.Model.Induction.","Experimental.Interventions","Reasoning.for..Experimental.Interventions..","Outcomes..Primary.and.Secondary.","Reasoning.for..Outcomes..Primary.and.Secondary..","Control.Interventions","Reasoning.for..Control.Interventions.","Primary.Research.Type","Reasoning.for..Primary.Research.Type.","Screening.judgement","Reasoning.for..Screening.judgement.","Screening.score","record_id","label","pages","volume","number","isbn","abstract"
"S181. ANALYSIS OF THE AMELIORATING EFFECT OF D-SERINE ON GLUN2D DEFICIENT MICE","A. Mallien, A. Herb, H. Monyer, D. Inta, P. Gass","10.1093/schbul/sbaa031.247","https://doi.org/10.1093/schbul/sbaa031.247","Schizophrenia bulletin",0,2020,"yes","The study includes in vivo controlled experiments using animal models, which meets the criterion for study design.","maybe","The study uses GluN2D deficient mice as a model of psychosis, based on the NMDAR hypofunction hypothesis of schizophrenia. However, there is uncertainty about whether this genetic model alone qualifies as an ""induction"" of psychosis-like features as specified in the criteria, which emphasizes pharmacological induction methods.","no","The study uses D-Serine as the intervention, which is an NMDAR modulator. This does not meet the criterion as the intervention must be a TAAR1 agonist, and the criteria specifically exclude other types of interventions.","maybe","The study includes locomotor activity (a primary outcome) and cognitive functions (secondary outcomes). However, it does not mention prepulse inhibition (PPI), the other required primary outcome. Some secondary outcomes align with the criteria (behavioral assays).","maybe","The abstract does not explicitly describe control conditions, though it implies comparison with normal mice. Without clear information about vehicle controls or appropriate comparison groups as specified in the criteria, it is unclear whether this criterion is met.","yes","This is clearly an original experimental study using animal models.","Exclude","The study uses a genetic mouse model investigating NMDAR subunit interactions in schizophrenia, employing D-Serine as an intervention and examining behavioral outcomes. However, critical screening criteria are not met, particularly the requirement for TAAR1 agonist interventions and comprehensive psychosis model induction methods. The research fails to satisfy key systematic review inclusion criteria despite exploring relevant neurobiological mechanisms.",1.4,"sr1_elicit_438","elicit_exclude","S107–S107","46","Supplement_1","1745-1701","AbstractBackgroundThe glutamate hypothesis of schizophrenia postulates NMDA receptor (NMDAR) hypofunction as a major pathophysiological mechanism based on clinical observations and preclinical evidence. Mice with globally reduced NMDAR expression display hyperlocomotion, sensorimotor gating deficits, cognitive deficits and social withdrawal. NMDARs are tetramers composed of 2 obligatory GluN1 (NR1) and 2 variable GluN2A-D (NR2A-D) subunits. GluN2A and GluN2B are the main cortical NMDAR subunits, but genetic models provided evidence that psychosis-like effects of NMDAR antagonists are mediated by GluN2C/GluN2D subunits. Previous data suggest a role also of the GluN2D subunit in schizophrenia-associated abnormalities [1].MethodsWe aimed to assess a comprehensive behavioural phenotyping of GluN2D deficient mice, including locomotion, affective behaviours and general welfare, but drew special focus on cognitive functions, including spatial learning, short-term and long-term memory, as well as puzzle solving. We further investigated the effect of D-Serine on the GluN2D KO mice. D-Serine is a NMDAR modulator and acts as an agonist at the glycine site. Previous work in clinical trials suggests significant therapeutic effects of D-serine on negative and positive symptoms, cognitive deficits and motor symptoms. We used the chronic application of D-Serin by supplementing it into the drinking water of the subjects.ResultsPreliminary data indicate no effect on locomotor alterations of the GluN2D mice, however a potential improvement in short-term memory and wellbeing-associated parameters. They indicate a role of the GluN2D subunit and a beneficial effect of D-serine on schizophrenia-induced parameters, including physiological, welfare-associated burrowing and cognitive performance in the short term task of the puzzle box test.DiscussionOur preliminary data indicate a role of the GluN2D subunit in the emergence of cognitive deficits associated with schizophrenia and a potential therapeutic effect of D-serine in alleviating these deficits. Further investigations are planned to further validate these findings.Reference"
"Combination of Haloperidol With UNC9994, β-arrestin-Biased Analog of Aripiprazole, Ameliorates Schizophrenia-Related Phenotypes Induced by NMDAR Deficit in Mice","Tatiana V. Lipina, Huy Giang, Jonathan S Thacker, William C. Wetsel, Marc G. Caron, Jean Martin Beaulieu, A. Salahpour, A. J. Ramsey","10.1101/2024.04.25.591166","https://doi.org/10.1101/2024.04.25.591166","bioRxiv",1,2024,"yes","The study includes in vivo controlled experiments using mouse models, with specific control conditions and experimental groups.","yes","The study uses two distinct animal models of psychosis: a pharmacological model using MK-801 (NMDAR antagonist) to induce psychosis-like features, and a genetic model using Grin1-KD mice with 90% reduction in NMDAR levels. Both models are valid for studying psychosis.","no","The study investigates UNC9994, which is described as a dopamine partial agonist and D2R/β-arrestin partial agonist. There is no mention of TAAR1 agonist activity, and the intervention is focused on dopamine receptor modulation, not TAAR1 agonism.","yes","The study includes the specified co-primary outcomes of locomotor activity (hyperactivity) and PPI (prepulse inhibition), as well as additional behavioral measures.","yes","The study includes appropriate control conditions, such as vehicle controls and haloperidol (current antipsychotic) as monotherapy, which align with the specified control intervention criteria.","yes","This is an original experimental study using animal models.","Exclude","The study employs sophisticated mouse models of psychosis using pharmacological and genetic interventions, with comprehensive behavioral assessments including locomotor activity and prepulse inhibition. While meeting most screening criteria with high methodological rigor, the research fails to investigate TAAR1 agonists, which is a critical exclusion criterion. Consequently, the study does not qualify for inclusion in the systematic review despite its scientific merit.",0.1,"sr1_elicit_439","elicit_exclude",NA,NA,NA,NA,"AbstractBackgroundGlutamatergic system dysfunction, particularly involving the N-methyl-D-aspartate receptor (NMDAR), contributes to a full spectrum of schizophrenia-like symptoms, including the cognitive and negative symptoms that are resistant to treatment with antipsychotic drugs (APDs). Aripiprazole, an atypical antipsychotic drug (APD), acts as a dopamine partial agonist and its combination with haloperidol (a typical APD) has been suggested as a potential strategy to improve schizophrenia symptoms. Recently, an analog of aripiprazole - UNC9994 was developed. UNC9994 does not affect D2R-mediated Gi/o protein signaling but acts as a partial agonist for D2R/β-arrestin interactions. Hence, our objective was to probe the effects of co-administrating haloperidol with UNC9994 in NMDAR mouse models of schizophrenia.MethodsNMDAR hypofunction was induced pharmacologically by acute injection of MK-801 (NMDAR pore blocker; 0.15 mg/kg) and genetically by knockdown of Grin1 gene expression in mice, which have a 90% reduction in NMDAR levels (Grin1-KD). After intraperitoneal injections of vehicle, haloperidol (0.15 mg/kg), UNC9994 (0.25 mg/kg) or their combination mice were tested in open field, Pre-Pulse inhibition (PPI), Y-maze and Puzzle box.ResultsOur findings indicate that low dose co-administration of UNC9994 and haloperidol reduces hyperactivity in MK-801-treated animals and in Grin1-KD mice. Furthermore, this dual administration effectively reverses PPI deficits, repetitive/rigid behavior in the Y-maze, and deficient executive function in the Puzzle box in both animal models.ConclusionsThe dual administration of haloperidol with UNC9994 at low doses represents a promising approach to ameliorate positive, negative, and cognitive symptoms of schizophrenia.Significance statementSchizophrenia is a devastating mental disorder and characterized by positive, negative, and cognitive symptoms. Cognitive and negative symptoms remain a focus of research dedicated to development of effective antipsychotic drugs (APDs). Aripiprazole, an atypical APD, acts as a dopamine partial agonist and its combination with haloperidol (a typical APD) has been suggested as a potential strategy to improve schizophrenia symptoms. An analog of aripiprazole - UNC9994 was recently developed, which does not affect D2R-mediated Gi/o protein signaling but acts as a partial agonist for D2R/β-arrestin interactions. Our pre-clinical findings on pharmacological (MK-801, 0.15 mg/kg) and genetic (Grin1-KD) mouse models of NMDAR deficiency showed that the dual administration of UNC9994 (0.25 mg/kg) with haloperidol (0.15 mg/kg) at low doses reduces hyperactivity, corrects prepulse inhibition (PPI) deficits, rigid behavior in the Y-maze, and deficient executive function in the Puzzle box. Further studies of the polypharmacy of UNC9994 with APDs is essential to facilitate translational studies in clinics."
"42.2 INFLAMMATION AND GUT MICROBIOME IN FIRST-EPISODE PSYCHOSIS","J. Suvisaari, O. Mantere, J. Keinänen, T. Kieseppä, M. Saarela, R. Yolken, J. Honkanen","10.1093/schbul/sby014.175","https://doi.org/10.1093/schbul/sby014.175","Schizophrenia bulletin",1,2018,"no","The paper does not describe an in vivo controlled experiment, as it is a human observational study following first-episode psychosis patients and controls over time, rather than an animal study.","no","The study uses human subjects (97 patients with first-episode psychosis and 62 controls), not animal models of psychosis. There is no mention of any animal experimentation or psychosis model induction.","no","The study does not investigate TAAR1 agonists. It focuses on observing metabolic changes and inflammation in patients receiving standard antipsychotic treatment.","no","The outcomes measured in this study (metabolic markers, inflammation, gut microbiota) do not match the required primary outcomes of locomotor activity and prepulse inhibition (PPI). While some secondary outcomes like metabolic changes are measured, they are not in the context required by the criteria.","no","While the study does include controls, they are healthy human controls, not the specified animal model controls required by the criteria.","no","While this is original research, it is not an experimental study using animal models. It is a human observational study.","Exclude","This human observational study of first-episode psychosis patients fundamentally does not meet the screening criteria, which specifically require animal model experiments investigating TAAR1 agonists. The research focuses on metabolic changes and inflammation in human subjects, completely diverging from the required experimental design involving animal psychosis models and specific pharmacological interventions.",0.1,"sr1_elicit_440","elicit_exclude","S68–S69","44","suppl_1","1745-1701",NA
"Connecting mechanistic biomarkers to psychotic symptoms","Xiongfei Wang, Yunzhe Liu","10.1111/pcn.13708","https://doi.org/10.1111/pcn.13708","Psychiatry and Clinical Neurosciences",0,2024,"no","The abstract does not explicitly describe any controlled experiments. While it mentions research about hippocampal sharp-wave ripples, it appears to be more theoretical/review-oriented rather than presenting experimental data.","no","While the abstract mentions ""mammalian brain,"" it does not describe any specific animal models of psychosis or methods of psychosis induction. There's no mention of experimental interventions to create psychosis-like features.","no","The abstract contains no mention of TAAR1 agonists or any other pharmaceutical interventions. It focuses on discussing neural processes and cognitive functions generally.","no","The abstract does not mention any of the primary outcomes (locomotor activity or prepulse inhibition) or secondary outcomes listed in the criteria. While it discusses neural processes, these are not presented as experimental outcomes.","no","No control groups or interventions are mentioned in the abstract. The text appears to be discussing mechanisms rather than comparing experimental conditions.","no","The abstract appears to be more of a theoretical or review piece discussing the relationship between neurobiological markers and cognitive processes in schizophrenia, rather than presenting original experimental research.","Exclude","The abstract lacks experimental evidence and does not describe any animal models of psychosis, TAAR1 agonist interventions, control groups, or specific behavioral outcomes required by the screening criteria. Instead, it presents a theoretical discussion about neurobiological mechanisms in schizophrenia, focusing on conceptual understanding rather than empirical research. Consequently, the text does not meet any of the specified screening requirements for an experimental study.",0.1,"sr1_elicit_441","elicit_exclude","489–489","78","9","1440-1819",NA
"PM440. The Effects of An Atypical Antipsychotic on the Mr 32 kDa Related Signaling Pathways","Hanson Park","10.1093/ijnp/pyw041.440","https://doi.org/10.1093/ijnp/pyw041.440","International Journal of Neuropsychopharmacology",0,2016,"maybe","The study includes in vivo controlled experiments using rats, which meets the criterion for study design. However, the focus appears to be on molecular signaling pathways rather than behavioral experiments.","no","The abstract does not mention any specific induction of psychosis-like features or behaviors. The studies appear to be conducted on normal rats without any psychosis model induction, which fails to meet this critical criterion.","no","The studies investigate antipsychotic medications (aripiprazole, haloperidol, bifeprunox, risperidone) but not TAAR1 agonists specifically. This fails to meet the criterion for TAAR1 agonist interventions.","no","The primary outcomes measured are molecular signaling pathways (Akt-GSK3β, Dvl-β-catenin, NMDA-CREB) rather than the required behavioral measures (locomotor activity and PPI). The outcomes do not match the specified criteria.","no","While the studies do include control groups (vehicle controls), they are not specifically testing TAAR1 agonists against current antipsychotics as required by the criteria.","yes","This is an original experimental study using animal models, which meets this criterion.","Exclude","The study fails to meet critical screening criteria, specifically lacking a psychosis model induction and not investigating TAAR1 agonist interventions. While an original experimental study using animal models, the research focuses on molecular signaling pathways rather than the required behavioral outcomes, rendering it non-compliant with the systematic review's specified parameters.",1.4,"sr1_elicit_442","elicit_exclude","60–60","19","Suppl_1","1469-5111",NA
"S77. ROLE OF DOPAMINE AND GLUTAMATE TRANSPORTERS IN GENERATION OF ANTIPSYCHOTIC EFFICACY","A. Kruyer, Jeffrey Parrilla Carrero, D. Amato","10.1093/schbul/sbaa031.143","https://doi.org/10.1093/schbul/sbaa031.143","Schizophrenia bulletin",0,2020,"yes","The study includes in vivo controlled experiments using Long Evans rats, which meets the requirement for in vivo controlled experiments.","no","The study does not use induced psychosis-like features or behaviors as specified in the criteria. Instead, it focuses on DAT and GLT-1 knockdown and their effects on locomotion in response to tail pinch or cocaine, but does not specifically model psychosis.","no","The study does not investigate TAAR1 agonists. Instead, it focuses on DAT and GLT-1 knockdown and their interaction with haloperidol (a traditional antipsychotic), which fails to meet the requirement for TAAR1 agonist interventions.","maybe","The study measures locomotor activity, which is one of the co-primary outcomes specified. However, it doesn't measure prepulse inhibition (PPI), the other required co-primary outcome. The study focuses on different behavioral measures and molecular outcomes.","maybe","The study includes control conditions, but they don't exactly match the specified control interventions. While there are vehicle controls, they're not specifically in the context of psychosis models as required.","yes","This is an original experimental study using animal models, meeting the requirement for primary research type.","Exclude","The study fails to meet key screening criteria, particularly the requirement for TAAR1 agonist interventions and induced psychosis models. While the research involves controlled animal experiments and measures locomotor activity, it does not align with the specific methodological and intervention requirements of the systematic review protocol. Consequently, the paper would be excluded from further analysis.",1.4,"sr1_elicit_443","elicit_exclude","S63–S63","46","Supplement_1","1745-1701","AbstractBackgroundAntipsychotic drugs are the first line intervention to treat psychosis in schizophrenia and D2 receptor blockade is thought to be their primary mechanism of action. However, multiple lines of evidence from human and animal studies show that D2 receptor blockade is not always correlated with markers of antipsychotic efficacy. We previously demonstrated that reduced antipsychotic efficacy occurs after chronic antipsychotic administration in rodents despite stable D2 blockade, examined using PET imaging. Instead, we found that changes in expression of the dopamine transporter (DAT) were associated with decreases in endogenous dopamine and dopamine-mediated autoinhibition. These studies have led us to examine the DAT as a critical player in generation of an antipsychotic response.MethodsUsing antisense morpholino oligonucleotides, administered for 3 consecutive days using Long Evans rats, we selectively blocked translation of DAT or GLT-1 mRNA in the core of the nucleus accumbens, a brain region critical for motor outputs in response to salient stimuli. Baseline locomotion was monitored prior to and after an acute i.p. injection of haloperidol. Next, locomotion was monitored in response to a tail pinch or acute i.p. administration of cocaine. Transporter expression was quantified during acute or chronic haloperidol treatment using confocal microscopy.ResultsWe found that DAT knockdown enhanced tail pinch-induced locomotion after acute haloperidol administration. Additionally, knockdown of the glutamate transporter GLT-1 strongly enhanced locomotion induced by tail pinch or cocaine injection after antipsychotic treatment. Confocal analysis of GLT-1 expression after acute or chronic haloperidol revealed significant GLT-1 up-regulation during a time period associated with antipsychotic efficacy.DiscussionOur findings demonstrate a cause/effect relationship between reduced DAT and the behavioral response to an acute injection of antipsychotics in rodents. In all, our data point to the importance of both dopamine and glutamate uptake in the efficacy of antipsychotic drugs and argue against a D2-centric hypothesis of antipsychotic action."
"Ketamine: Linking NMDA receptor hypofunction, gamma oscillations and psychosis (commentary on Qin et al., 2022)","T. Reilly","10.1111/ejn.15872","https://doi.org/10.1111/ejn.15872","European Journal of Neuroscience",1,2022,"yes","The study includes in vivo controlled experiments using a rodent model, which meets the criterion for in vivo controlled experiments.","maybe","The study uses ketamine as a psychotomimetic agent to induce psychosis-like features in rodents, which aligns with the criterion of using animal models of psychosis with induced features. However, it does not use TAAR1-related interventions.","no","The study focuses on ketamine, which is an NMDA receptor antagonist, not a TAAR1 agonist. This fails to meet the criterion requiring TAAR1 agonist interventions.","no","The study measures oscillatory activity and sensory processing, which do not align with the required co-primary outcomes of locomotor activity and PPI. While it measures behavioral outcomes, they are not the specific ones required by the criteria.","maybe","While the study likely includes control groups, the abstract does not explicitly describe the control conditions. However, this is less relevant given the failure to meet criterion 3.","yes","This is an original experimental study using animal models, meeting this criterion.","Exclude","The study uses a rodent model with ketamine as an NMDA receptor antagonist, which fundamentally differs from the required TAAR1 agonist interventions. Critical screening criteria were not met, particularly the experimental intervention and outcome measurement requirements. Consequently, the paper does not align with the systematic review's specific methodological parameters and would be excluded.",1.4,"sr1_elicit_444","elicit_exclude","456–457","57","3","1460-9568",NA
"Brexpiprazole: A new option in treating agitation in Alzheimer's dementia—Insights from transgenic mouse models","Naoki Amada, Shinji Sato, Dai Ishikawa, Mai Nakamura, Mikio Suzuki, T. Futamura, Kenji Maeda","10.1002/npr2.12461","https://doi.org/10.1002/npr2.12461","Neuropsychopharmacology Reports",1,2024,"yes","The study includes in vivo controlled experiments, as indicated by the mention of ""two AAD mouse models"" in the abstract.","no","The study uses Alzheimer's disease models, not psychosis models as required by the criteria. The abstract does not mention any induction of psychosis-like features or behaviors.","no","The study investigates brexpiprazole, which is not mentioned as a TAAR1 agonist in the abstract. While brexpiprazole is an antipsychotic, there is no indication it is being studied specifically for its TAAR1 agonist properties.","maybe","The abstract does not specify the exact behavioral measures used. While it mentions ""agitation-ameliorating effect,"" it does not explicitly state whether locomotor activity or PPI were measured as primary outcomes.","maybe","The abstract does not explicitly describe the control conditions used, so it cannot be confirmed if they match the specific control requirements (vehicle or current antipsychotics).","yes","This is an original experimental study using animal models, meeting this criterion.","Exclude","The study uses Alzheimer's disease mouse models and investigates brexpiprazole, which fundamentally differs from the required psychosis models and TAAR1 agonist interventions. Critical screening criteria are not met, particularly regarding the disease model, intervention type, and specific behavioral outcomes. These substantial deviations suggest the study would not qualify for inclusion based on the predefined screening criteria.",1.4,"sr1_elicit_445","elicit_exclude","557–568","44","3","2574-173X","AbstractAimBrexpiprazole is the first FDA‐approved treatment for agitation associated with dementia due to Alzheimer's disease. Agitation in Alzheimer's dementia (AAD) occurs in high prevalence and is a great burden for patients and caregivers. Efficacy, safety, and tolerability of brexpiprazole were demonstrated in the AAD clinical trials. To demonstrate the agitation‐ameliorating effect of brexpiprazole in animals, we evaluated brexpiprazole in two AAD mouse models.MethodsThe resident–intruder test was conducted in 5‐ to 6‐month‐old Tg2576 mice, given vehicle or brexpiprazole (0.01 or 0.03 mg/kg) orally 1 h before the test. Locomotor activity was measured in 6‐month‐old APPSL‐Tg mice given vehicle or brexpiprazole (0.01 or 0.03 mg/kg) orally the evening before the start of locomotor measurement for 3 days.ResultsIn the resident–intruder test, Tg2576 mice showed significantly higher attack number and shorter latency to first attack compared to non‐Tg mice. In the Tg mice, brexpiprazole treatment (0.03 mg/kg) significantly delayed the latency to first attack and showed a trend toward a decrease in attack number. APPSL‐Tg mice (≧6 months old) showed significantly higher locomotion during dark period Phase II (Zeitgeber time [ZT] 16–20) and Phase III (ZT20‐24) compared to non‐Tg mice, correlating with the clinical observations of late afternoon agitation in Alzheimer's disease. Brexpiprazole treatment (0.01 and 0.03 mg/kg) significantly decreased hyperlocomotion during the Phase III in APPSL‐Tg mice.ConclusionThe suppression of attack behavior and the reduction of nocturnal hyperlocomotion in these Tg mice may be indicative of the therapeutic effect of brexpiprazole on AAD, as demonstrated in the clinical trials."
"T7. UPDATED INDIVIDUAL PARTICIPANT DATA META-ANALYSIS CONFIRMS LOWER LEVELS OF THE GLIAL MARKER TSPO IN PSYCHOSIS PATIENTS","P. Plavén-Sigray, G. Matheson, Jennifer M. Coughlin, S. Hafizi, H. Laurikainen, J. Ottoy, Livia de’Picker, P. Rusjan, J. Hietala, O. Howes, R. Mizrahi, M. Morrens, M. Pomper, S. Cervenka","10.1093/schbul/sbaa029.567","https://doi.org/10.1093/schbul/sbaa029.567","Schizophrenia bulletin",0,2020,"no","The paper does not involve in vivo controlled experiments, as it is a meta-analysis of PET imaging studies in human subjects rather than an experimental study using animal models.","no","The study was conducted on human patients with psychosis and healthy controls, not on animal models of psychosis.","no","The study does not investigate TAAR1 agonists, but instead focuses on TSPO radioligands and PET imaging.","no","The outcomes measured in this study (TSPO binding via PET imaging) do not match the required primary outcomes of locomotor activity and prepulse inhibition, nor do they align with the specified secondary outcomes.","no","While the study includes control groups (healthy controls), these are human controls rather than the specified animal model controls.","no","While this is original research, it is not an experimental study using animal models, but rather a meta-analysis of human imaging studies.","Exclude","This meta-analysis of human PET imaging studies examining TSPO radioligand binding in psychosis patients fundamentally differs from the required screening criteria focused on animal models of psychosis. The research involves human subjects and PET imaging, whereas the screening requirements specifically demand experimental studies using animal models, TAAR1 agonists, and specific behavioral outcomes, resulting in a complete mismatch across all six screening criteria.",0.1,"sr1_elicit_446","elicit_exclude","S233–S233","46","Supplement_1","1745-1701","AbstractBackgroundTreatment targeting the immune system is a promising new approach in schizophrenia. In search for tools for stratification and treatment monitoring, much effort has been invested in the use of positron emission tomography (PET) and radioligands binding to a glial marker, the 18 kDa translocator protein (TSPO). We previously demonstrated lower TSPO in psychosis patients in an individual participant data (IPD) meta-analysis of studies using second generation TSPO radioligands (Plavén-Sigray et al., 2018). Subsequently, a summary-statistics meta-analysis, including one newly published study, showed no difference (Marques et al., 2019). Here, the aim was to repeat the IPD analysis including this new sample, and an additional unpublished dataset in first episode psychosis patients. The primary objective was to re-evaluate the hypotheses of 1) higher or 2) lower or 3) no difference in radioligand binding between patients and healthy control subjects. Secondary objectives were to assess the effects of antipsychotic medication on TSPO binding, as well as relationships between TSPO binding and disease duration and symptom measures.MethodsIndividual participant data were obtained from PET studies that 1) used a second generation TSPO radioligand, 2) reported distribution volume (VT) values in brain in patients with psychosis as compared to healthy controls, and 3) reported TSPO affinity type of all participants. The outcome measure was VT in frontal cortex (FC), temporal cortex (TC) and hippocampus (HIP). Bayes factors (BF) were applied to examine the relative support for higher, lower, or no-change of TSPO levels in patients compared to healthy controls.ResultsIndividual participant data from seven studies were included, amounting to 99 patients with first-episode psychosis or schizophrenia and 109 healthy control subjects. In all regions investigated, BF showed moderate to strong support (BF &gt; 5) for lower VT in patients as compared to no difference, and strong support (BF &gt; 10) for lower VT compared to higher VT in patients. Mean patient-control differences in standardized VT values were -0.41 for FC (95%CI -0.67 to -0.15, p = 0.0022), -0.38 for TC (95%CI -0.64 to -0.12, p = 0.0048) and -0.53 for HIP (95% CI -0.79 to -0.27, p = 0.0001). The mean change in standardized VT due to medication was 0.10 for FC (CI95% -0.10 to 0.30, p = 0.615), -0.08 for TC (CI95% -0.32 to 0.48, p = 0.666) and 0.08 for HIP (CI95% -0.46 to 0.30, p = 0.682). No association was observed between VT and disease duration or symptom levels (all p &gt; 0.526).DiscussionIn this updated IPD meta-analysis including two new datasets, we found moderate to strong support for lower TSPO in psychosis patients compared to control subjects. In vitro data has shown a lack of correspondence between TSPO and pro-inflammatory activation, also recently confirmed in a post-mortem study in schizophrenia. Hence, based on the present results no firm conclusions can be made regarding the pro- versus anti-inflammatory status of glial cells in psychosis patients. Additional work is needed to understand the biological relevance of the observed lower TSPO in patients."
"Molecular Mechanisms of Methamphetamine-Induced Addiction via TAAR1 Activation","Yun Lin, Jiening Wang, Fan Shi, Linlin Yang, Shan Wu, Anna Qiao, Sheng Ye","10.1021/acs.jmedchem.4c01961","https://doi.org/10.1021/acs.jmedchem.4c01961","Journal of Medicinal Chemistry",0,2024,"no","The study appears to be primarily an in vitro/in silico study focusing on molecular dynamics simulations and structural analysis of the TAAR1-Gs protein complex, rather than including in vivo controlled experiments.","no","The abstract does not mention any animal models or psychosis induction methods. The study focuses on the human TAAR1 protein structure and interactions at a molecular level.","no","While the study involves TAAR1 and its interactions with various compounds, it does not test TAAR1 agonists as therapeutic interventions. Instead, it studies the structural basis of TAAR1 interaction with methamphetamine and similar compounds.","no","The study does not measure any of the specified primary outcomes (locomotor activity or PPI) or secondary outcomes. The outcomes are structural and molecular in nature.","no","The abstract does not mention any control groups or interventions as specified in the criteria. The study appears to be mechanistic rather than interventional.","no","While this is original research, it is not an experimental study using animal models. It is a structural/molecular study.","Exclude","The study is a molecular and structural investigation of TAAR1 protein interactions, focusing on mechanistic insights at the protein level rather than an experimental animal model study. None of the specified screening criteria for animal models of psychosis were met, as the research does not involve in vivo controlled experiments, psychosis model induction, therapeutic interventions, control groups, or behavioral outcomes. The paper represents a basic science approach to understanding TAAR1 protein structure and interactions, which falls outside the systematic review's defined parameters.",0.1,"sr1_elicit_447","elicit_exclude","18593–18605","67","20","1520-4804",NA
"Selective 5-HT6 Receptor Ligands (Agonist and Antagonist) Show Different Effects on Antipsychotic Drug-Induced Metabolic Dysfunctions in Rats","A. Partyka, K. Górecka, J. Gdula-Argasińska, Natalia Wilczyńska-Zawal, M. Jastrzębska-Więsek, A. Wesołowska","10.3390/ph16020154","https://doi.org/10.3390/ph16020154","Pharmaceuticals",0,2023,"yes","The study appears to be an in vivo controlled experiment using rats, which meets the requirement for in vivo controlled experiments.","no","The abstract does not mention any induction of psychosis-like features or behaviors. The study focuses on metabolic effects of antipsychotic drugs rather than psychosis models.","no","The study investigates 5-HT6 receptor ligands (WAY-181187 as an agonist and SB-742457 as an antagonist), not TAAR1 agonists.","no","The study measures metabolic outcomes (weight gain, food intake, serum lipids, glucose, hormones) rather than the required behavioral measures (locomotor activity, PPI).","no","While the study does include control conditions, they are not the specific control conditions required by the criteria (vehicle or current antipsychotics in psychosis models).","yes","This is an original experimental study using animal models, meeting the requirement for primary research type.","Exclude","The study fails to meet multiple critical screening criteria, specifically lacking animal models of psychosis, TAAR1 agonist interventions, and required behavioral outcome measures. While an original experimental study using rats, the research focuses on metabolic effects of antipsychotic drugs and 5-HT6 receptor ligands, which diverges significantly from the specified screening requirements. Consequently, the study does not qualify for inclusion based on the predefined criteria.",0.1,"sr1_elicit_448","elicit_exclude","154","16","2","1424-8247","It is estimated that in patients taking antipsychotic drugs (APDs), metabolic syndrome occurs 2–3 times more often than in the general population. It manifests itself in abdominal obesity, elevated glucose concentration, and dyslipidemia. Despite the high prevalence of this disorder, only a small percentage of patients receive appropriate and effective treatment, and none of the available methods for preventing or treating APD-induced metabolic side effects is satisfactory. A promising supplement to antipsychotic therapy appears to be ligands of the serotonin 6 (5-HT6) receptor. The present study aimed to examine the chronic effects of the selected APDs (haloperidol, risperidone, olanzapine), administered alone and in combination with a selective 5-HT6 agonist (WAY-181187) or antagonist (SB-742457), on weight gain, food intake, serum lipid profile, glucose level, and a spectrum of hormones derived from adipose (leptin, adiponectin) and gastrointestinal (insulin, ghrelin) tissue in rats. SB-742457 inhibited increased weight gain and alleviated hyperglycemia induced by APDs more strongly than did WAY-181187, but also intensified dyslipidemia. WAY-181187 tended to improve the lipid profile, but increased the glucose level. The greatest benefits were obtained when WAY-181187 or SB-742457 were co-administered with haloperidol. It is difficult to assess whether the modification of the serum levels of insulin, leptin, ghrelin, and adiponectin depended on the treatment applied or other drug-independent factors; therefore, further research is needed."
