Title,Author,Journal,Abstract,Year,DOI,Publication Type
"Development of the sigma-1 receptor in C-terminals of motoneurons and colocalization with the N,N'-dimethyltryptamine forming enzyme, indole-N-methyl transferase","TA, Mavlyutov",,,2012,10.1016/j.neuroscience.2011.12.040,
Antidepressant-like effects of cinnamamide derivative M2 via D(2) receptors in the mouse medial prefrontal cortex,"YX, Che",,,2022,10.1038/s41401-021-00854-7,
Electrophysiological analyses of serotonergic actions on neurons in hypothalamic ventromedial nucleus in vitro: receptor subtypes involved and implications for regulation of feeding and lordosis behaviors,"LM, Kow",,,1992,,
Effect of aripiprazole on anxiety associated with ethanol physical dependence and on ethanol-induced place preference,"M, Shibasaki",,,2012,10.1254/jphs.11201fp,
Role of glutamate and advantages of combining memantine with a 5HT6 ligand in a model of depression,"R, Abraham",,,2014,10.1016/j.pharep.2013.10.007,
Involvement of serotonin and oxytocin in neural mechanism regulating amicable social signal in male mice: Implication for impaired recognition of amicable cues in BALB/c strain,"H, Arakawa",,,2017,10.1037/bne0000191,
Serotonin-sensitive adenylate cyclase in neural tissue and its similarity to the serotonin receptor: a possible site of action of lysergic acid diethylamide,"JA, Nathanson",,,1974,10.1073/pnas.71.3.797,
Fluoxetine disrupts the integration of anxiety and aversive memories,"A, Degroot",,,2005,10.1038/sj.npp.1300624,
"Drugs modifying dopaminergic activity and behaviour, the EEG and epilepsy in Papio papio","B, Meldrum",,,1975,10.1016/0014-2999(75)90284-8,
Brain-derived tumor necrosis factor-alpha and its involvement in noradrenergic neuron functioning involved in the mechanism of action of an antidepressant,"JL, Reynolds",,,2004,10.1124/jpet.104.067835,
Regulation of fat intake in the absence of flavour signalling,"JG, Ferreira",,,2012,10.1113/jphysiol.2011.218289,
"Effect of 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine on striatal dopamine receptors in C57BL/6 mice","HN, Bhargava",,,1988,10.1016/0378-4274(88)90044-6,
Phosphorylation of membrane proteins in response to persistent stimulation of adenylate cyclase-linked dopamine receptors in slices of striatum,"M, Memo",,,1984,10.1016/0028-3908(84)90254-5,
Tryptophan depletion affects compulsive behaviour in rats: strain dependent effects and associated neuromechanisms,"A, Merchán",,,2017,10.1007/s00213-017-4561-5,
"Anxiolytic properties of the selective, non-peptidergic CRF(1) antagonists, CP154,526 and DMP695: a comparison to other classes of anxiolytic agent","MJ, Millan",,,2001,10.1016/s0893-133x(01)00244-5,
Role of serotonin in therapy of depression and related disorders,"RW, Fuller",,,1991,,
Glial cell line-derived neurotrophic factor mediates the desirable actions of the anti-addiction drug ibogaine against alcohol consumption,"DY, He",,,2005,10.1523/jneurosci.3959-04.2005,
Diurnal variation in the function of serotonin terminals in the rat hypothalamus,"P, Blier",,,1989,10.1111/j.1471-4159.1989.tb09142.x,
Metabotropic glutamate receptors in the control of mood disorders,"JM, Witkin",,,2007,10.2174/187152707780363302,
Possible dopamine agonist properties of quipazine maleate,"JJ, Feigenbaum",,,1983,10.3109/00207458308987364,
Effect of xanthone from Kielmeyera coriacea stems on serotonergic neurons of the median raphe nucleus,"VR, Sela",,,2010,10.1016/j.phymed.2009.07.002,
Serotonergic signalling suppresses ataxin 3 aggregation and neurotoxicity in animal models of Machado-Joseph disease,"A, Teixeira-Castro",,,2015,10.1093/brain/awv262,
Effects of rapid eye movement sleep deprivation on the properties of striatal dopaminergic system,"A, Hamdi",,,1993,10.1016/0091-3057(93)90214-e,
Temperature regulation and dopaminergic systems in the brain: does the substantia nigra play a role?,"SJ, Brown",,,1982,10.1016/0006-8993(82)90868-x,
"A PET study of effects of chronic 3,4-methylenedioxymethamphetamine (MDMA, ""ecstasy"") on serotonin markers in Göttingen minipig brain","P, Cumming",,,2007,10.1002/syn.20377,
"Primate cardiovascular responses mediated by dopamine receptors: effects of N,N-di-n-propyldopamine and LY171555","RA, Hahn",,,1984,,
"Characterization of uptake and compartmentalization of 3,5,3'-tri-iodothyronine in cultured neonatal rat cardiomyocytes","der Putten HH, van",,,2001,10.1677/joe.0.1710183,
Differential effects of social stress on central serotonergic activity and emotional reactivity in Lewis and spontaneously hypertensive rats,"O, Berton",,,1998,10.1016/s0306-4522(97)00282-0,
"Norepinephrine and (Na+, K+)-ATPase: evidence for stabilization by lithium or imipramine","AC, Swann",,,1988,10.1016/0028-3908(88)90042-1,
Is elevated norepinephrine an etiological factor in some cases of Parkinson's disease?,"PJ, Fitzgerald",,,2014,10.1016/j.mehy.2014.01.026,
Prolonged treatment with pramipexole promotes physical interaction of striatal dopamine D3 autoreceptors with dopamine transporters to reduce dopamine uptake,"J, Castro-Hernández",,,2015,10.1016/j.nbd.2014.12.007,
Ameliorative effects of Radix rehmanniae extract on the anxiety- and depression-like symptoms in ovariectomized mice: A behavioral and molecular study,"XD, Zhou",,,2019,10.1016/j.phymed.2019.153012,
Psychopharmacological activity of anaphylatoxin C3a in rat hypothalamus,"N, Schupf",,,1983,10.1016/0165-5728(83)90051-6,
Bioactivity guided isolation of antipsychotic constituents from the leaves of Rauwolfia tetraphylla L,"S, Gupta",,,2012,10.1016/j.fitote.2012.04.029,
Beyond the monoaminergic hypothesis: neuroplasticity and epigenetic changes in a transgenic mouse model of depression,"R, Massart",,,2012,10.1098/rstb.2012.0212,
Clozapine directly increases insulin and glucagon secretion from islets: implications for impairment of glucose tolerance,"GC, Smith",,,2014,10.1016/j.schres.2014.05.003,
"Repeated exposure to JWH-018 induces adaptive changes in the mesolimbic and mesocortical dopaminergic pathways, glial cells alterations, and behavioural correlates","N, Pintori",,,2021,10.1111/bph.15494,
Time-resolved photolabeling by the noncompetitive blocker chlorpromazine of the acetylcholine receptor in its transiently open and closed ion channel conformations,"T, Heidmann",,,1984,10.1073/pnas.81.6.1897,
Effect of haloperidol on dopamine-induced increase in renal blood flow,"DK, Armstrong",,,1986,10.1177/106002808602000704,
Effect of addition of yohimbine (alpha-2-receptor antagonist) to the antidepressant activity of fluoxetine or venlafaxine in the mouse forced swim test,"A, Dhir",,,2007,10.1159/000104877,
"Role of (+)-SKF-10,047-sensitive sub-population of sigma 1 receptors in amelioration of conditioned fear stress in rats: association with mesolimbic dopaminergic systems","H, Kamei",,,1997,10.1016/s0014-2999(96)00851-5,
"Effect of buspirone and its metabolite 1-(2-pyrimidinyl)-piperazine on hippocampal serotoninergic system, studied in freely moving rats","De Simoni M, Grazia",,,1990,10.1016/0024-3205(90)90105-z,
Transcriptome composition of the preoptic area in mid-age and escitalopram treatment in male mice,"S, Moriya",,,2016,10.1016/j.neulet.2016.04.052,
Antidepressant effects of p-coumaric acid isolated from Vaccinium bracteatum leaves extract on chronic restraint stress mouse model and antagonism of serotonin 6 receptor in vitro,"DR, Oh",,,2023,10.1016/j.phymed.2023.154871,
Variations in binding of [3H]5-HT to cortical membranes during the female rat estrous cycle,"L, Uphouse",,,1986,10.1016/0006-8993(86)90093-4,
Maternal stress increases fetal brain and neonatal cerebral cortex 5-hydroxytryptamine synthesis in rats: a possible mechanism by which stress influences brain development,"DA, Peters",,,1990,10.1016/0091-3057(90)90383-s,
GLP-1 is both anxiogenic and antidepressant; divergent effects of acute and chronic GLP-1 on emotionality,"RH, Anderberg",,,2016,10.1016/j.psyneuen.2015.11.021,
Serotonin-induced head shaking behavior in rats does not involve receptors located in the frontal cortex,"I, Lucki",,,1987,10.1016/0006-8993(87)91265-0,
Dopamine stimulation of the septum enhances exercise efficiency during complicated treadmill running in mice,"T, Shiuchi",,,2019,10.1007/s12576-019-00722-4,
[Mechanism of action of antidepressants],"PM, Llorca",,,1993,10.1177/070674379303801005,
Improvement by methylphenidate and atomoxetine of social interaction deficits and recognition memory impairment in a mouse model of valproic acid-induced autism,"Y, Hara",,,2016,10.1002/aur.1596,
The High Affinity Dopamine D(2) Receptor Agonist MCL-536: A New Tool for Studying Dopaminergic Contribution to Neurological Disorders,"S, Subburaju",,,2021,10.1021/acschemneuro.1c00094,
Dual protective effect of Passiflora incarnata in epilepsy and associated post-ictal depression,"B, Singh",,,2012,10.1016/j.jep.2011.11.011,
Neuronal-associated tumor necrosis factor (TNF alpha): its role in noradrenergic functioning and modification of its expression following antidepressant drug administration,"TA, Ignatowski",,,1997,10.1016/s0165-5728(97)00107-0,
Antipsychotic-induced weight gain,"AJ, Goudie",,,2005,10.1111/j.1463-1326.2004.00413.x,
Serotonin-kynurenine hypothesis of depression: historical overview and recent developments,"G, Oxenkrug",,,2013,10.2174/1389450111314050002,
Long-term adaptive changes induced by serotonergic antidepressant drugs,"C, Faure",,,2006,10.1586/14737175.6.2.235,
The role of 5-HT in the impairment of thermoregulation observed in rats administered MDMA ('ecstasy') when housed at high ambient temperature,"KS, Saadat",,,2005,10.1007/s00213-004-2106-1,
Antiallodynic effects of intrathecally administered 5-HT(2C) receptor agonists in rats with nerve injury,"H, Obata",,,2004,10.1016/j.pain.2003.12.019,
"8-(4-Methoxyphenyl)pyrazolo[1,5-a]-1,3,5-triazines: selective and centrally active corticotropin-releasing factor receptor-1 (CRF1) antagonists","PJ, Gilligan",,,2009,10.1021/jm9000242,
Neurotensin regulation of endogenous acetylcholine release from rat striatal slices is independent of dopaminergic tone,"PA, Lapchak",,,1991,10.1111/j.1471-4159.1991.tb08199.x,
[Action of haloperidol on the ultrastructure of areas of the dopaminergic system of the brain],"AIu, Klintsova",,,1987,,
Antitumor activity of histamine and clozapine in a mouse experimental model of human melanoma,"NA, Massari",,,2013,10.1016/j.jdermsci.2013.07.012,
"Characterization of U-92016A as a selective, orally active, high intrinsic activity 5-hydroxytryptamine1A agonist","RB, McCall",,,1994,,
Development of dopamine and N-methyl-D-aspartate systems in rat brain: the effect of prenatal phencyclidine exposure,"SF, Ali",,,1993,10.1016/0165-3806(93)90042-9,
Creation of a constitutively activated state of the 5-hydroxytryptamine2A receptor by site-directed mutagenesis: inverse agonist activity of antipsychotic drugs,"CT, Egan",,,1998,,
Blockade of the serotonergic system counteracts the dizocilpine-induced changes in dopaminergic function,"R, Dall'Olio",,,2000,10.1097/00008877-200002000-00003,
"(Na+,K+)-ATPase and noradrenergic function: effects of chronic ethanol","AC, Swann",,,1987,10.1016/0014-2999(87)90160-9,
Enhancement of rotational behavior induced by repeated administration of SKF38393 in rats with unilateral nigrostriatal 6-OHDA lesions,"H, Matsuda",,,1992,10.1016/0091-3057(92)90518-k,
"Nurr1 deficiency shortens free running period, enhances photoentrainment to phase advance, and disrupts circadian cycling of the dopamine neuron phenotype","HS, Partington",,,2021,10.1016/j.bbr.2021.113347,
"Studies on the mechanisms by which clenbuterol, a beta-adrenoceptor agonist, enhances 5-HT-mediated behaviour and increases metabolism of 5-HT in the brain of the rat","VL, Nimgaonkar",,,1983,10.1016/0028-3908(83)90098-9,
Attenuation of amphetamine-stereotypy by mesostriatal dopamine depletion enhances plasma corticosterone: implications for stereotypy as a coping response,"GH, Jones",,,1989,10.1016/s0163-1047(89)90686-9,
Pharmacological evidence for feedback regulation of dopamine metabolism in solid fetal substantia nigra transplants,"R, Meloni",,,1990,,
"Neuropharmacology and neurotoxicity of 3,4-methylenedioxymethamphetamine","GA, Gudelsky",,,2003,10.1385/1-59259-358-5:55,
"Comparative Effects of LY3020371, a Potent and Selective Metabotropic Glutamate (mGlu) 2/3 Receptor Antagonist, and Ketamine, a Noncompetitive N-Methyl-d-Aspartate Receptor Antagonist in Rodents: Evidence Supporting the Use of mGlu2/3 Antagonists, for the Treatment of Depression","JM, Witkin",,,2017,10.1124/jpet.116.238121,
Pharmacological characterization of the D2 dopamine receptor negatively coupled with adenylate cyclase in rat anterior pituitary,"A, Enjalbert",,,1983,,
Serotonin-2C receptors in the basolateral nucleus of the amygdala mediate the anxiogenic effect of acute imipramine and fluoxetine administration,"MA, Vicente",,,2012,10.1017/s1461145711000873,
"GL-II-73, a Positive Allosteric Modulator of α5GABA(A) Receptors, Reverses Dopamine System Dysfunction Associated with Pilocarpine-Induced Temporal Lobe Epilepsy","AM, McCoy",,,2023,10.3390/ijms241411588,
Dopaminergic and serotonergic effects of clozapine. Implications for a unique clinical profile,"HY, Meltzer",,,1992,,
Sleep suppressant action of fenfluramine in rats. II. Evidence against the involvement of presynaptic serotonergic mechanism,"C, Fornal",,,1983,,
Endocannabinoids activate transient receptor potential vanilloid 1 receptors to reduce hyperdopaminergia-related hyperactivity: therapeutic implications,"ET, Tzavara",,,2006,10.1016/j.biopsych.2005.08.019,
Binding of [3H]FH-510 to sigma ligand recognition sites in guinea-pig brain membranes,"M, Tanaka",,,1993,,
Evidence against the involvement of serotonergic neurons in the anti-punishment activity of diazepam in the rat,"MH, Thiébot",,,1984,10.1007/bf00427685,
Galanin contributes to monoaminergic dysfunction and to dependent neurobehavioral comorbidities of epilepsy,"JS, Medel-Matus",,,2017,10.1016/j.expneurol.2016.12.008,
Conditional tolerance to haloperidol-induced catalepsy is not caused by striatal dopamine receptor supersensitivity,"Graaf CJ, de",,,1986,10.1007/bf00172871,
"Stimulation of glycogen synthesis and inactivation of phosphorylase in hepatocytes by serotonergic mechanisms, and counter-regulation by atypical antipsychotic drugs","LJ, Hampson",,,2007,10.1007/s00125-007-0696-y,
Stress and brain noradrenaline: a review,"GB, Glavin",,,1985,10.1016/0149-7634(85)90048-x,
Benzoxazolone-arylpiperazinyl scaffold-based PET ligand for 5-HT(7) : Synthesis and biological evaluation,"N, Kumari",,,2022,10.1002/ddr.21930,
Functional neuroanatomy of the ventral striopallidal GABA pathway. New sites of intervention in the treatment of schizophrenia,"WT, O'Connor",,,2001,10.1016/s0165-0270(01)00398-3,
The dopamine D2 agonist quinpirole impairs frontal mismatch responses to sound frequency deviations in freely moving rats,"H, Inaba",,,2021,10.1002/npr2.12199,
Short-Term Consequences of Single Social Defeat on Accumbal Dopamine and Behaviors in Rats,"VV, Nemets",,,2022,10.3390/biom13010035,
Electroacupuncture alleviated depression-like behaviors in ventromedial prefrontal cortex of chronic unpredictable mild stress-induced rats: Increasing synaptic transmission and phosphorylating dopamine transporter,"X, Cai",,,2023,10.1111/cns.14200,
[Dopamine as an immune-modulator between dendritic cells and T cells and the role of dopamine in the pathogenesis of rheumatoid arthritis],"K, Nakano",,,2009,10.2177/jsci.32.1,
Magnesium ions reveal nanomolar potency of dopamine at [3H]spiperone labelled D-2 receptors in rat corpus striatum,"Vries DJ, De",,,1985,10.1016/0014-2999(85)90406-6,
Neurochemical factors associated with the antidepressant-like effect of flavonoid chrysin in chronically stressed mice,"CB, Filho",,,2016,10.1016/j.ejphar.2016.09.005,
The effects of Δ(9)-tetrahydrocannabinol on the dopamine system,"MA, Bloomfield",,,2016,10.1038/nature20153,
Role of the serotonergic system in the pathogenesis of major depression and suicidal behavior,"JJ, Mann",,,1999,10.1016/s0893-133x(99)00040-8,
Evidence for alterations in presynaptic serotonergic function during withdrawal from chronic cocaine in rats,"MH, Baumann",,,1995,10.1016/0014-2999(95)00280-x,
"S32212, a novel serotonin type 2C receptor inverse agonist/α2-adrenoceptor antagonist and potential antidepressant: II. A behavioral, neurochemical, and electrophysiological characterization","A, Dekeyne",,,2012,10.1124/jpet.111.187534,
Potential involvement of serotonergic signaling in ketamine's antidepressant actions: A critical review,"Jardin KG, du",,,2016,10.1016/j.pnpbp.2016.05.007,
Cocaine-conditioned place preference by dopamine-deficient mice is mediated by serotonin,"TS, Hnasko",,,2007,10.1523/jneurosci.3133-07.2007,
Endogenous Modulators of NMDA Receptor Control Dendritic Field Expansion of Cortical Neurons,"P, Jorratt",,,2023,10.1007/s12035-022-03147-0,
Salivary secretion induced by L-DOPA in haloperidol-treated rats,"JH, Pazo",,,1984,10.1016/0165-1838(84)90074-2,
Dopaminergic substrates of amphetamine-induced place preference conditioning,"C, Spyraki",,,1982,10.1016/0006-8993(82)90685-0,
Association of a spin-labeled local anesthetic with the allosterically coupled noncompetitive inhibitor site on the acetylcholine receptor,"A, Palma",,,1986,,
Inhibitory action of dopamine on cat carotid chemoreceptors,"RJ, Docherty",,,1978,10.1113/jphysiol.1978.sp012354,
Antidepressant-Like Action of Single Facial Injection of Botulinum Neurotoxin A is Associated with Augmented 5-HT Levels and BDNF/ERK/CREB Pathways in Mouse Brain,"Y, Li",,,2019,10.1007/s12264-019-00367-8,
"Systemic phencyclidine administration is associated with increased dopamine, GABA, and 5-HIAA levels in the dorsolateral striatum of conscious rats: an in vivo microdialysis study","SM, Lillrank",,,1994,10.1007/bf01276433,
Predator Stress-Induced CRF Release Causes Enduring Sensitization of Basolateral Amygdala Norepinephrine Systems that Promote PTSD-Like Startle Abnormalities,"AK, Rajbhandari",,,2015,10.1523/jneurosci.5080-14.2015,
Perampanel attenuates scratching behavior induced by acute or chronic pruritus in mice,"A, Haruta-Tsukamoto",,,2020,10.1016/j.bbrc.2020.09.109,
Serotonin 2A receptor function and depression-like behavior in rats model of hypothyroidism,"Z, Jin",,,2021,10.1007/s00221-021-06129-1,
Dopamine sensitivity in rats selectively bred for increases in cholinergic function,"AD, Crocker",,,1991,10.1016/0091-3057(91)90596-t,
Physiological effects of selective 5-HT1a and 5-HT1b ligands in rat hippocampus: comparison to 5-HT,"M, Segal",,,1989,10.1016/0006-8993(89)90462-9,
Plasma levels of 5-HT and 5-HIAA increased after intestinal ischemia/reperfusion in rats,"Y, Teramoto",,,1998,10.2170/jjphysiol.48.333,
Effect of microinjections of apamin into the A10 dopamine region of rats: a behavioral and neurochemical analysis,"JD, Steketee",,,1990,,
Modeling dopamine system dysfunction in experimental animals,"P, Hantraye",,,1998,10.1016/s0969-8051(98)00054-7,
Regulation of serotonin2 (5-HT2) receptors labeled with [3H]spiroperidol by chronic treatment with the antidepressant amitriptyline,"SJ, Peroutka",,,1980,,
Increased dopamine receptor expression and anti-depressant response following deep brain stimulation of the medial forebrain bundle,"MP, Dandekar",,,2017,10.1016/j.jad.2017.03.074,
Mechanism of action of dopamine on the in vitro release of gonadotropin-releasing hormone,"LT, Jarjour",,,1986,10.1210/endo-119-4-1726,
The dual role of dopamine in the modulation of information processing in the prefrontal cortex underlying social behavior,"H, Sotoyama",,,2022,10.1096/fj.202101637r,
"Role of serotonergic neurotransmission in the hypnotic response to dexmedetomidine, an alpha 2-adrenoceptor agonist","BC, Rabin",,,1996,10.1016/0014-2999(96)00194-x,
Differential glutamatergic modulation of monoamine release in the limbic lobe by selective anticonvulsant ionotropic and metabotropic glutamate receptor ligands,"I, Smolders",,,2005,,
The beer component hordenine inhibits alcohol addiction-associated behaviours in mice,"Y, Li",,,2023,10.1111/adb.13305,
cGMP-dependent protein kinase Ialpha associates with the antidepressant-sensitive serotonin transporter and dictates rapid modulation of serotonin uptake,"JA, Steiner",,,2009,10.1186/1756-6606-2-26,
Sleep suppressant action of fenfluramine in rats. I. Relation to postsynaptic serotonergic stimulation,"C, Fornal",,,1983,,
Autoradiography of dopamine receptors and dopamine uptake sites in the spontaneously hypertensive rat,"K, Kujirai",,,1990,10.1016/0361-9230(90)90046-3,
Prenatal lipopolysaccharide exposure increases anxiety-like behaviors and enhances stress-induced corticosterone responses in adult rats,"YL, Lin",,,2012,10.1016/j.bbi.2011.12.003,
"Pharmacological properties of 403U76, a new chemical class of 5-hydroxytryptamine- and noradrenaline-reuptake inhibitor","RM, Ferris",,,1995,10.1111/j.2042-7158.1995.tb06740.x,
"Deletion of CREB-regulated transcription coactivator 1 induces pathological aggression, depression-related behaviors, and neuroplasticity genes dysregulation in mice","L, Breuillaud",,,2012,10.1016/j.biopsych.2012.04.011,
Kinetics of competitive drug action at 5-hydroxytryptamine2 receptors in isolated rabbit aorta,"BM, Clancy",,,1987,,
The antidepressant desipramine and α2-adrenergic receptor activation promote breast tumor progression in association with altered collagen structure,"MJ, Szpunar",,,2013,10.1158/1940-6207.capr-13-0079,
Lateral parabrachial nucleus and serotonergic mechanisms in the control of salt appetite in rats,"JV, Menani",,,1996,10.1152/ajpregu.1996.270.1.r162,
Dopamine receptors in canine caudate nucleus,"H, Maeno",,,1982,10.1007/bf00423094,
5-HT1A receptor activation is necessary for 5-MeODMT-dependent potentiation of feeding inhibition,"V, Duvvuri",,,2009,10.1016/j.pbb.2009.05.014,
Antagonism by abecarnil of enhanced acetylcholine release in the rat brain during anticipation but not consumption of food,"CA, Ghiani",,,1998,10.1016/s0091-3057(97)00426-7,
Antidepressant-like effect of Salvia sclarea is explained by modulation of dopamine activities in rats,"GH, Seol",,,2010,10.1016/j.jep.2010.04.035,
Tumor necrosis factor-alpha: presynaptic sensitivity is modified after antidepressant drug administration,"TA, Ignatowski",,,1994,10.1016/0006-8993(94)91350-1,
Effects of acute dopamine depletion on responsiveness to D1 and D2 receptor agonists in infant and weanling rat pups,"CA, Moody",,,1992,10.1007/bf02244963,
Renovascular effects of sympathetic cotransmitters ATP and NPY are age-dependent in spontaneously hypertensive rats,"O, Vonend",,,2005,10.1016/j.cardiores.2004.12.005,
Endogenous 5-HT outflow from chicken aorta by 5-HT uptake inhibitors and amphetamine derivatives,"D, Delgermurun",,,2016,10.1292/jvms.15-0146,
Electrophysiological and neurochemical characterization of the effect of repeated treatment with milnacipran on the rat serotonergic and noradrenergic systems,"K, Tachibana",,,2006,10.1177/0269881106059694,
"Evaluation of antidepressant activity of 1-(7-methoxy-2-methyl-1,2,3,4-tetrahydro-isoquinolin-4-YL)-cyclohexanol, a β-substituted phenylethylamine in mice","A, Dhir",,,2011,10.1016/j.euroneuro.2010.12.003,
Folic acid exerts antidepressant effects by upregulating brain-derived neurotrophic factor and glutamate receptor 1 expression in brain,"L, Gao",,,2017,10.1097/wnr.0000000000000887,
"Tolerance to 3,4-methylenedioxymethamphetamine is associated with impaired serotonin release","K, Jones",,,2010,10.1111/j.1369-1600.2010.00217.x,
Hyperfunction of dopaminergic and serotonergic neuronal systems in mice lacking the NMDA receptor epsilon1 subunit,"Y, Miyamoto",,,2001,10.1523/jneurosci.21-02-00750.2001,
"A role for serotonin in the antidepressant activity of NG-Nitro-L-arginine, in the rat forced swimming test","V, Gigliucci",,,2010,10.1016/j.pbb.2009.11.007,
"Interactions of epinephrine, norepinephrine, dopamine and their corresponding alpha-methyl-substituted derivatives with alpha and beta adrenoceptors in the pithed rat","RR Jr, Ruffolo",,,1984,,
Methamphetamine-seeking behavior is due to inhibition of nicotinic cholinergic transmission by activation of cannabinoid CB1 receptors,"T, Hiranita",,,2008,10.1016/j.neuropharm.2008.08.012,
Haloperidol blocks increased locomotor activity elicited by carbachol infusion into the ventral hippocampal formation,"DM, Brenner",,,1998,10.1016/s0091-3057(98)00053-7,
"A lack of GluN2A-containing NMDA receptors confers a vulnerability to redox dysregulation: Consequences on parvalbumin interneurons, and their perineuronal nets","R, Cardis",,,2018,10.1016/j.nbd.2017.10.006,
Enhanced dopamine-dependent hippocampal plasticity after single MK-801 application,"JC, Bartsch",,,2015,10.1038/npp.2014.276,
Alcohol-induced c-Fos expression in the Edinger-Westphal nucleus: pharmacological and signal transduction mechanisms,"RK, Bachtell",,,2002,10.1124/jpet.102.036046,
Noradrenergic alpha-2 agonists have anxiolytic-like actions on stress-related behavior and mesoprefrontal dopamine biochemistry,"BA, Morrow",,,2004,10.1016/j.brainres.2004.08.057,
"Fluoxetine modulates the transcription of genes involved in serotonin, dopamine and adrenergic signalling in zebrafish embryos","V, Cunha",,,2018,10.1016/j.chemosphere.2017.10.100,
Induction by endogenous noradrenaline of an alpha 1-adrenoceptor-mediated positive inotropic effect in rabbit papillary muscles,"Y, Hattori",,,1993,10.1111/j.1476-5381.1993.tb13754.x,
"Differential alterations in striatal acetylcholine function in rats during 12 months' continuous administration of haloperidol, sulpiride, or clozapine","NM, Rupniak",,,1986,10.1097/00002826-198606000-00006,
Ventral tegmental area dopamine neurons mediate the shock sensitization of acoustic startle: a potential site of action for benzodiazepine anxiolytics,"A, Gifkins",,,2002,,
Influence of the CB(1) cannabinoid receptors on the activity of the monoaminergic system in the behavioural tests in mice,"E, Poleszak",,,2019,10.1016/j.brainresbull.2019.05.021,
"Alpha2-adrenergic receptor blockade markedly potentiates duloxetine- and fluoxetine-induced increases in noradrenaline, dopamine, and serotonin levels in the frontal cortex of freely moving rats","A, Gobert",,,1997,10.1046/j.1471-4159.1997.69062616.x,
Serotonin-1C sites in the choroid plexus are not linked in a stimulatory or inhibitory way to adenylate cyclase,"JM, Palacios",,,1986,10.1016/0006-8993(86)91439-3,
Behavioral and biochemical aspects of neuroleptic-induced dopaminergic supersensitivity: studies with chronic clozapine and haloperidol,"TF, Seeger",,,1982,10.1007/bf00435275,
A role for the mesolimbic dopamine system in the reinforcing properties of diazepam,"C, Spyraki",,,1988,10.1007/bf00735894,
Contribution of Kv1.2 voltage-gated potassium channel to D2 autoreceptor regulation of axonal dopamine overflow,"S, Fulton",,,2011,10.1074/jbc.m110.153262,
Clozapine modulates midbrain dopamine neuron firing via interaction with the NMDA receptor complex,"L, Schwieler",,,2004,10.1002/syn.20008,
Vasoconstrictor and vasodilator responses to tryptamine of rat-isolated perfused mesentery: comparison with tyramine and β-phenylethylamine,"MA, Anwar",,,2012,10.1111/j.1476-5381.2011.01706.x,
Linkage and association of novel DRD2 variants to the comorbidity of type 2 diabetes and depression,"M, Amin",,,2022,10.26355/eurrev_202211_30372,
Effects of catecholamines and related compounds on horizontal cells in the fish retina,"K, Negishi",,,1979,10.1002/jnr.490040502,
Estrogen receptors are found in glia and at extranuclear neuronal sites in the dorsal striatum of female rats: evidence for cholinergic but not dopaminergic colocalization,"A, Almey",,,2012,10.1210/en.2012-1458,
"Long-term compulsive exercise reduces the rewarding efficacy of 3,4-methylenedioxymethamphetamine","HI, Chen",,,2008,10.1016/j.bbr.2007.09.014,
"Synthesis and biological evaluation of 1-(1,2-benzisothiazol-3-yl)- and (1,2-benzisoxazol-3-yl)piperazine derivatives as potential antipsychotic agents","JP, Yevich",,,1986,10.1021/jm00153a010,
Functional supersensitivity of CNS alpha 1-adrenoceptors following chronic antidepressant treatment,"DB, Menkes",,,1983,10.1016/0024-3205(83)90411-3,
Prenatal interaction of mutant DISC1 and immune activation produces adult psychopathology,"B, Abazyan",,,2010,10.1016/j.biopsych.2010.09.022,
"Comparison of the cardiovascular actions of N,N-di-n-propyl dopamine and sodium nitroprusside in conscious and chloralose-anaesthetised dogs","SE, O'Connor",,,1982,10.1097/00005344-198205000-00022,
Effect of nicotine pretreatment on striatal dopaminergic system in rats,"YK, Fung",,,1989,10.1016/0091-3057(89)90237-2,
Potent serotonin (5-HT)(2A) receptor antagonists completely prevent the development of hyperthermia in an animal model of the 5-HT syndrome,"K, Nisijima",,,2001,10.1016/s0006-8993(00)03020-1,
Comparative effects of olanzapine and ziprasidone on hypophagia induced by enhanced histamine neurotransmission in the rat,"N, Davoodi",,,2008,10.1097/fbp.0b013e3282f62c66,
Role of purinergic P2X4 receptors in regulating striatal dopamine homeostasis and dependent behaviors,"S, Khoja",,,2016,10.1111/jnc.13734,
Gut microbiota-derived tryptamine and phenethylamine impair insulin sensitivity in metabolic syndrome and irritable bowel syndrome,"L, Zhai",,,2023,10.1038/s41467-023-40552-y,
NCAM-deficient mice show prominent abnormalities in serotonergic and BDNF systems in brain - Restoration by chronic amitriptyline,"A, Aonurm-Helm",,,2015,10.1016/j.euroneuro.2015.10.001,
Galantamine ameliorates the impairment of recognition memory in mice repeatedly treated with methamphetamine: involvement of allosteric potentiation of nicotinic acetylcholine receptors and dopaminergic-ERK1/2 systems,"Y, Noda",,,2010,10.1017/s1461145710000222,
Interactions of drugs and electroshock treatment on cerebral monoaminergic systems,"AI, Barkai",,,1986,10.1111/j.1749-6632.1986.tb51249.x,
[The presynaptic metabolic modulation of the impulse-dependent release of 3H-serotonin from rat brain slices by ipsapirone (TVX Q 7821) and other serotonin agonists],"AT, Dolzhenko",,,1993,,
Abuse potential and dopaminergic effect of alkyl nitrites,"SY, Jeon",,,2016,10.1016/j.neulet.2016.06.057,
